datagroup;dataset;subjectid;sessionid;scope type;scope;BASEXMax;BASEXMin;BASEXMean;BASEZMean;BASEYMax;BASEYMin;BASEYMean;BASEZMax;BASEZMin;BASEQ2Mean;BASEQ3Max;BASEQ0Mean;BASEQ0Min;BASEQ3Mean;BASEQ0Max;BASEQ3Min;BASEQ1Mean;BASEQ2Min;BASEQ2Max;BASEQ1Min;BASEQ1Max;DH_alpha1_SARAMax;DH_alpha1_SARAMin;DH_alpha1_SARAMean;DH_alpha2_SARAMean;DH_alpha2_SARAMax;DH_alpha2_SARAMin;DH_alpha3_SARAMax;DH_alpha3_SARAMin;DH_alpha3_SARAMean;DH_alpha4_SARAMax;DH_alpha4_SARAMin;DH_alpha4_SARAMean;DH_alpha5_SARAMean;DH_alpha5_SARAMin;DH_alpha5_SARAMax;DH_d1_SARAMean;DH_d1_SARAMin;DH_d1_SARAMax;DH_d4_SARAMax;DH_d4_SARAMin;DH_d4_SARAMean;DH_d5_SARAMax;DH_d5_SARAMean;DH_d5_SARAMin;DH_r1_SARAMin;DH_r1_SARAMean;DH_r1_SARAMax;DH_r2_SARAMin;DH_r2_SARAMean;DH_r2_SARAMax;DH_r3_SARAMean;DH_r3_SARAMax;DH_r3_SARAMin;DH_r4_SARAMean;DH_r4_SARAMax;DH_r4_SARAMin;DH_r5_SARAMin;DH_r5_SARAMax;DH_r5_SARAMean;Rot0Mean;Rot0Min;Rot0Max;Rot1Mean;Rot1Max;Rot1Min;Rot2Mean;Rot2Max;Rot2Min;Rot3Mean;Rot3Max;Rot3Min;Rot4Min;Rot4Mean;Rot4Max;Rot5Max;Rot5Min;Rot5Mean;TCPUR5eFitXMean;TCPUR5eFitZMean;TCPUR5eFitYMax;TCPUR5eFitZMax;TCPUR5eFitZMin;TCPUR5eFitXMax;TCPUR5eFitXMin;TCPUR5eFitYMean;TCPUR5eFitYMin;TCPPZMean;TCPPXMax;TCPPXMin;TCPPXMean;TCPPYMax;TCPPYMin;TCPPYMean;TCPPZMax;TCPPZMin;TCPQ2Mean;TCPQ1Max;TCPQ1Min;TCPQ0Mean;TCPQ2Min;TCPQ3Mean;TCPQ1Mean;TCPQ0Min;TCPQ2Max;TCPQ3Max;TCPQ0Max;TCPQ3Min;TCPUR5eXMax;TCPUR5eYMean;TCPUR5eXMin;TCPUR5eZMax;TCPUR5eZMin;TCPUR5eXMean;TCPUR5eZMean;TCPUR5eYMax;TCPUR5eYMin;TCPUR5ePXMax;TCPUR5ePZMean;TCPUR5ePYMean;TCPUR5ePZMin;TCPUR5ePZMax;TCPUR5ePYMin;TCPUR5ePYMax;TCPUR5ePXMean;TCPUR5ePXMin;TargetAngle0Max;TargetAngle0Mean;TargetAngle0Min;TargetAngle1Max;TargetAngle1Min;TargetAngle1Mean;TargetAngle2Mean;TargetAngle2Max;TargetAngle2Min;TargetAngle3Max;TargetAngle3Min;TargetAngle3Mean;TargetAngle4Max;TargetAngle4Min;TargetAngle4Mean;TargetAngle5Max;TargetAngle5Mean;TargetAngle5Min;TargetTCPUR5ePXMean;TargetTCPUR5ePYMean;TargetTCPUR5ePZMax;TargetTCPUR5ePZMean;TargetTCPUR5ePZMin;TargetTCPUR5ePYMax;TargetTCPUR5ePYMin;TargetTCPUR5ePXMax;TargetTCPUR5ePXMin;Temperature0Min;Temperature0Max;Temperature0Mean;Temperature1Max;Temperature1Mean;Temperature1Min;Temperature2Min;Temperature2Mean;Temperature2Max;Temperature3Min;Temperature3Max;Temperature3Mean;Temperature4Min;Temperature4Max;Temperature4Mean;Temperature5Mean;Temperature5Max;Temperature5Min;TRIAL_INFO/PAYLOAD;TRIAL_INFO/cycle_nr;x diff;y diff;z diff
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;0;312.7919173;312.7405598;312.7650644;246.5003664;85.89159628;85.81774761;85.85439182;246.5056034;246.4956353;0.09997633;-0.61992238;0.76342234;0.76336645;-0.61998689;0.76346451;-0.62007318;0.63811525;0.09988922;0.10005756;0.63806371;0.63817897;89.77082897;89.75309415;89.76425326;179.5007622;179.5081663;179.4937263;0.79716925;0.77754997;0.79397562;0.79716925;0.77754997;0.79397562;90.40574042;90.40019399;90.44167247;164.8838749;164.8794323;164.8890084;135.8128666;135.6947455;135.7641135;101.6549564;101.6404697;101.5258951;0.34963301;0.36950627;0.39041993;-426.8050675;-426.7933627;-426.7871686;-391.7940809;-391.7688057;-391.8625655;1.8189116;1.83509715;1.70379009;0.19796115;0.23181325;0.21647396;34.12058807;34.117495;34.12439349;-103.6888403;-103.6869788;-103.6910769;-113.2747929;-113.2729774;-113.2771301;-53.03739794;-53.03388583;-53.0393773;89.99633469;89.99972821;90.00250918;-55.8771392;-55.88126464;-55.87895728;500.2911059;241.1776964;251.5442535;241.2199054;241.1403136;500.3446816;500.233072;251.4663987;251.3736247;78.37927597;557.701299;557.5317646;557.6239348;-411.206832;-411.3203105;-411.265913;78.42070804;78.34219563;0.01643506;0.99663069;0.99660888;-0.08049621;0.01626256;0.99666361;0.99661941;-0.080648;0.01659667;0.99667569;-0.08035049;0.9966524;-1046.23;-261.1208414;-1046.38;-234.2188953;-234.3246628;-1046.32;-234.2864766;-261.0350671;-261.2245749;500.8560012;240.8049671;;240.7813182;240.8352188;176.9912749;177.0626855;500.8400997;500.823222;0.59552956;0.59552956;0.59552956;-1.8097024;-1.8097024;-1.8097024;-1.9770141;-1.9770141;-1.9770141;-0.92567253;-0.92567253;-0.92567253;1.5707964;1.5707964;1.5707964;-0.97526693;-0.97526693;-0.97526693;500.8383743;177.0285209;240.8121796;240.8121796;240.8121796;177.0285209;177.0285209;500.8383743;500.8383743;30.5;30.5;30.5;32.375;32.36505682;32.3125;32.5;32.5;32.5;37.875;37.875;37.875;41.375;41.375;41.375;42.89914773;42.9375;42.875;3773;1;1.80264904;251.4663987;0.37272926
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;1;312.2462121;312.170353;312.2096919;246.4809739;85.64756668;85.57425659;85.610351;246.4850915;246.4751826;0.08355041;-0.70066429;0.68993233;0.68986649;-0.70074755;0.69002602;-0.70081946;0.71903596;0.0834568;0.08372572;0.71895541;0.71910349;89.92582549;89.91289464;89.91821272;179.5555567;179.5611298;179.550991;1.01509138;1.00495275;1.00988284;1.01509138;1.00495275;1.00988284;90.21786628;90.2136382;90.22222946;164.7133568;164.7073981;164.7173165;136.8780877;136.7535799;136.8095264;101.5881622;101.5775595;101.5678664;0.32553016;0.34317197;0.35886769;-426.9045718;-426.8946879;-426.8834084;-391.9738154;-391.9588758;-391.9934168;2.2883673;2.30028291;2.27750401;0.27007966;0.28759917;0.27836494;27.04168001;27.03961926;27.04442772;-101.2884944;-101.2858394;-101.2919866;-116.3814323;-116.3787463;-116.3835548;-52.32987182;-52.325865;-52.33272251;89.99701771;89.99957964;90.00182616;-62.9553462;-62.96223103;-62.95884326;499.1259962;240.6254709;178.9316068;240.6562645;240.6030635;499.1977689;499.0612237;178.811179;178.6971794;78.3415342;485.0783121;484.8452003;484.9585883;-410.7648387;-410.9035638;-410.8307305;78.37187407;78.31940321;0.01304889;0.99647431;0.99644612;-0.08308067;0.01281096;0.99638878;0.99645738;-0.08319724;0.01326031;0.99640329;-0.08289898;0.9963807;-1070.41;-312.3902461;-1070.58;-234.273263;-234.3631691;-1070.49;-234.3149061;-312.2588579;-312.5203095;500.7390163;240.7991382;177.0212342;240.7685611;240.8207878;104.7476475;104.7950553;500.7249576;500.7118556;0.47195935;0.47195935;0.47195935;-1.7677999;-1.7677999;-1.7677999;-2.0312619;-2.0312619;-2.0312619;-0.91332722;-0.91332722;-0.91332722;1.5707964;1.5707964;1.5707964;-1.0988369;-1.0988369;-1.0988369;500.7173716;104.7652158;240.7987371;240.7987371;240.7987371;104.7652158;104.7652158;500.7173716;500.7173716;30.5625;30.5625;30.5625;32.3125;32.3125;32.3125;32.5;32.5;32.5;37.8125;37.8125;37.8125;41.375;41.375;41.375;42.90694444;42.9375;42.875;3773;1;2.27555634;1.78994479;-0.17366726
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;2;311.6133903;311.5594953;311.5903926;246.4620126;85.37442346;85.33447903;85.35398633;246.4680678;246.4576155;0.06345918;-0.78072396;0.59665143;0.59660311;-0.78078659;0.59672031;-0.78083316;0.7999875;0.06336251;0.06353836;0.7999362;0.80002358;89.93319522;89.92314402;89.92847891;179.5995406;179.6048432;179.5943424;0.54828582;0.539343;0.54344589;0.54828582;0.539343;0.54344589;90.43882343;90.43272347;90.44459689;164.668651;164.6645735;164.674699;135.168275;135.1004625;135.1307646;101.3512045;101.3400936;101.3318589;0.02980245;0.05354232;0.07651849;-427.1839985;-427.1746646;-427.1629418;-392.3689032;-392.3530729;-392.3875732;1.44802354;1.46041471;1.4362156;0.53846103;0.55535399;0.54625348;19.24165543;19.23961836;19.24373014;-100.0583385;-100.0540011;-100.0635634;-117.9242284;-117.9222052;-117.9276693;-52.01729193;-52.01402589;-52.01951736;89.99841107;90.00030835;90.00250918;-70.75722541;-70.76132352;-70.75918704;497.9151024;240.1863586;106.411233;240.2115018;240.1539855;497.9447328;497.880317;106.3474296;106.2601656;78.41497638;412.5486923;412.3975095;412.4850467;-410.3111589;-410.3765681;-410.346551;78.44000585;78.38318466;0.0139517;0.99644481;0.99642231;-0.08324836;0.01381108;0.99637229;0.99643116;-0.08336007;0.01407802;0.99638614;-0.08308057;0.99636356;-1094.45;-363.4889311;-1094.55;-234.1984104;-234.2576354;-1094.50;-234.2293246;-363.4260935;-363.5485615;500.6138719;240.7920978;104.7721145;240.754811;240.8345685;32.46638888;32.5104552;500.5984631;500.5802973;0.33581924;0.33581924;0.33581924;-1.7463408;-1.7463408;-1.7463408;-2.0581727;-2.0581727;-2.0581727;-0.90787554;-0.90787554;-0.90787554;1.5707961;1.5707961;1.5707961;-1.2349772;-1.2349772;-1.2349772;500.5961397;32.48230522;240.7923416;240.7923416;240.7923416;32.48230522;32.48230522;500.5961397;500.5961397;30.5625;30.5625;30.5625;32.375;32.37083333;32.3125;32.5;32.5;32.5;37.8125;37.8125;37.8125;41.375;41.375;41.375;42.89861111;42.9375;42.875;3773;1;1.43421246;1.57531508;-0.60573919
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;3;310.8808048;310.8377616;310.8638175;246.2785577;85.06145409;85.01906898;85.04178645;246.2828455;246.2741475;0.03717001;-0.85383269;0.48517227;0.48507747;-0.85388206;0.48525589;-0.85392916;0.87362822;0.03702456;0.03729499;0.8735857;0.87367754;89.82087832;89.80591891;89.81357474;179.7403482;179.7452892;179.7321341;0.742781;0.73391318;0.73800293;0.742781;0.73391318;0.73800293;90.34281271;90.33924833;90.34635221;164.5395101;164.535125;164.5437159;136.3814789;136.3178588;136.3469021;100.1916548;100.1824272;100.1713082;0.05630828;0.08263422;0.10992923;-426.9440102;-426.9333975;-426.923994;-392.1388842;-392.1211336;-392.1602852;0.88888772;0.89877333;0.88082955;0.33554309;0.35080197;0.34314724;10.96763416;10.96467343;10.96948188;-100.1085;-100.1061018;-100.110883;-117.8625427;-117.8596953;-117.8652141;-52.02951676;-52.02707155;-52.03257668;89.99841107;90.00018692;90.00250918;-79.03057891;-79.03607038;-79.03315252;496.6962237;239.6728911;33.84856733;239.6992415;239.6391822;496.7239067;496.6691568;33.80753157;33.76931996;78.41453138;339.975659;339.8964016;339.9347504;-409.8287898;-409.8836662;-409.8560081;78.44099393;78.38068288;0.01378605;0.99645347;0.99643832;-0.08312057;0.01364023;0.99637927;0.99644413;-0.08319592;0.01400342;0.9963903;-0.08300665;0.99637168;-1118.54;-414.6376562;-1118.60;-234.1659452;-234.2247011;-1118.57;-234.1917248;-414.6015537;-414.6730632;500.4881607;240.7885628;32.48933153;240.7633161;240.8197779;-39.83444489;-39.79405128;500.4696513;500.450132;0.19140935;0.19140935;0.19140935;-1.7472119;-1.7472119;-1.7472119;-2.0570922;-2.0570922;-2.0570922;-0.90808487;-0.90808487;-0.90808487;1.5707964;1.5707964;1.5707964;-1.3793869;-1.3793869;-1.3793869;500.4674971;-39.81805861;240.7925316;240.7925316;240.7925316;-39.81805861;-39.81805861;500.4674971;500.4674971;30.5;30.5625;30.55138889;32.3125;32.3125;32.3125;32.5;32.5;32.5;37.8125;37.8125;37.8125;41.375;41.375;41.375;42.875;42.875;42.875;3773;1;0.87524749;1.31820004;-1.11567172
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;4;310.137423;310.1089549;310.1280771;246.2513194;84.99150796;84.94056475;84.96638907;246.2569378;246.2468303;0.00879861;-0.9149268;0.35667173;0.35658241;-0.91495721;0.35674106;-0.91499321;0.93418834;0.00866942;0.00893819;0.93416255;0.93422211;89.82445954;89.80839827;89.81592567;179.7814347;179.7874148;179.7725929;0.86687982;0.85882665;0.86317857;0.86687982;0.85882665;0.86317857;90.70287279;90.52179493;90.89654942;164.5853478;164.5808215;164.5905258;137.1366112;136.9016759;137.0017797;102.4357108;101.9881792;101.5545785;0.05744466;0.09044389;0.12177214;-426.8859808;-426.876962;-426.8643332;-391.8206373;-391.8021264;-391.8333851;2.03956772;2.43617262;1.70546679;0.61561897;1.23773863;0.93773769;2.5565787;2.5542312;2.55835045;-101.430671;-101.4277434;-101.4332349;-116.1999733;-116.1975004;-116.2036749;-52.36989513;-52.36638169;-52.37256984;89.99772805;89.9999896;90.00250918;-87.4422574;-87.44569981;-87.44387114;495.4642693;239.0650513;-38.49522341;239.0819934;239.0491416;495.4993595;495.4381244;-38.54884463;-38.58585576;78.31823884;267.6210732;267.5300774;267.567156;-409.3253601;-409.3862953;-409.3516582;78.3349073;78.30257786;0.01713744;0.99670354;0.99668642;-0.07942335;0.01699316;0.99670919;0.99669365;-0.07952701;0.01729677;0.99671786;-0.07931544;0.99670064;-1142.60;-465.6470361;-1142.65;-234.1808559;-234.2406803;-1142.63;-234.2112308;-465.6245817;-465.6692226;500.3292307;240.8037949;-39.81089748;240.785833;240.8272495;-112.148813;-112.1129965;500.3133179;500.2887774;0.04461372;0.04461372;0.04461372;-1.7703319;-1.7703319;-1.7703319;-2.0280471;-2.0280471;-2.0280471;-0.91401052;-0.91401052;-0.91401052;1.5707964;1.5707964;1.5707964;-1.5261827;-1.5261827;-1.5261827;500.3251947;-112.1313016;240.7995337;240.7995337;240.7995337;-112.1313016;-112.1313016;500.3251947;500.3251947;30.5;30.5625;30.52083333;32.3125;32.3125;32.3125;32.5;32.5;32.5;37.8125;37.875;37.85138889;41.375;41.375;41.375;42.91666667;42.9375;42.875;3773;1;2.02257456;1.26205285;-1.73874356
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;5;309.4005112;309.3784675;309.3903655;246.1861673;84.94885277;84.9083647;84.92873127;246.1906841;246.1809962;-0.0206649;-0.95727333;0.21999774;0.21995206;-0.95730516;0.22008783;-0.95732883;0.97528147;-0.02080956;-0.02056838;0.97526248;0.97529207;89.79193477;89.77858655;89.78632888;179.6148322;179.6198878;179.6095145;1.00801562;1.00048371;1.00399057;1.00801562;1.00048371;1.00399057;90.88022665;90.87625223;90.9079977;164.4371508;164.4316763;164.4414457;137.6493763;137.5852235;137.6175913;102.0825836;102.0159114;102.006644;0.06074208;0.08644177;0.1126311;-426.7583417;-426.7490884;-426.7398796;-391.76854;-391.7497642;-391.7851071;2.39789189;2.46356047;2.38973399;0.83077332;0.85316206;0.83923542;-5.64010035;-5.6418082;-5.63836578;-103.9157518;-103.9120198;-103.9181943;-112.9730219;-112.9702634;-112.9764242;-53.11149461;-53.10871396;-53.11420544;89.99841107;90.00011103;90.00182616;-95.63829316;-95.64375731;-95.64079938;494.1643807;238.5613045;-111.0067443;238.5742392;238.5475335;494.1884611;494.1311323;-111.0467252;-111.0935502;78.32627472;195.0981858;195.0110677;195.0581302;-408.7463235;-408.803787;-408.7795838;78.33878938;78.31261821;0.02011111;0.99658898;0.99656709;-0.0801659;0.02002244;0.99660664;0.99657863;-0.08030094;0.02024307;0.99661798;-0.08004743;0.99659597;-1166.59;-516.7090302;-1166.65;-234.0780788;-234.1337868;-1166.62;-234.1097234;-516.6792619;-516.7346079;500.1749484;240.8157069;-112.1283674;240.7879442;240.8534769;-184.4624552;-184.4243391;500.1603869;500.1246038;-0.09845018;-0.09845018;-0.09845018;-1.8136892;-1.8136892;-1.8136892;-1.9717383;-1.9717383;-1.9717383;-0.92696142;-0.92696142;-0.92696142;1.5707958;1.5707958;1.5707958;-1.6692462;-1.6692462;-1.6692462;500.1640809;-184.4513822;240.8133898;240.8133898;240.8133898;-184.4513822;-184.4513822;500.1640809;500.1640809;30.5625;30.5625;30.5625;32.375;32.375;32.375;32.5;32.5;32.5;37.8125;37.875;37.83055556;41.375;41.375;41.375;42.875;42.875;42.875;3773;1;2.37786945;1.08164226;-2.25440236
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;6;308.6758669;308.644982;308.6618569;246.1696731;85.02779393;84.99024537;85.00778102;246.1739886;246.1657283;-0.04896014;-0.97874275;0.08309039;0.08300183;-0.97876874;0.08315996;-0.97879608;0.99533858;-0.04909371;-0.04884007;0.99532881;0.99534771;89.74483;89.7299996;89.73829965;179.5059117;179.5133147;179.5002823;1.05031126;1.04360347;1.04650137;1.05031126;1.04360347;1.04650137;90.71660913;90.48675048;90.78271948;164.4736672;164.4688526;164.4783689;137.8247869;137.6276867;137.689468;102.1265391;101.9720282;101.4164016;0.12073522;0.14325962;0.16333649;-426.5612056;-426.5542001;-426.5461378;-391.5549684;-391.5397705;-391.5742413;2.24773871;2.3596772;1.88277938;0.23392761;0.61126086;0.52480773;-13.33915211;-13.34153509;-13.33675396;-107.3842731;-107.3810456;-107.3879577;-108.2453267;-108.243226;-108.2480345;-54.36919677;-54.36586492;-54.37205649;89.99772805;90.00008067;90.00250918;-103.3355885;-103.3424733;-103.3395166;492.9299514;238.0420557;-183.7443067;238.0767738;238.0240646;492.9520949;492.903932;-183.7849286;-183.821787;78.3213105;122.3500253;122.2723981;122.3093461;-408.2491548;-408.2974866;-408.2755336;78.35582034;78.30350984;0.0175022;0.99646611;0.99645118;-0.08224063;0.01738432;0.99641637;0.9964588;-0.08232278;0.01761694;0.99642455;-0.08216121;0.99640923;-1190.72;-567.9891246;-1190.78;-234.024732;-234.0875775;-1190.75;-234.0665942;-567.9596052;-568.0154381;499.9985069;240.8496056;-184.4437228;240.8073177;240.8855174;-256.7858605;-256.7426155;499.9755066;499.9618638;-0.23281908;-0.23281908;-0.23281908;-1.8742509;-1.8742509;-1.8742509;-1.8892217;-1.8892217;-1.8892217;-0.94891644;-0.94891644;-0.94891644;1.5707964;1.5707964;1.5707964;-1.8036151;-1.8036151;-1.8036151;499.9823396;-256.771414;240.833876;240.833876;240.833876;-256.771414;-256.771414;499.9823396;499.9823396;30.5625;30.5625;30.5625;32.3125;32.3125;32.3125;32.5;32.5;32.5;37.8125;37.8125;37.8125;41.375;41.375;41.375;42.875;42.875;42.875;3773;1;2.23035439;0.65879412;-2.80754987
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;7;307.8772717;307.8397614;307.8609319;246.2354897;85.34471651;85.32939793;85.33745391;246.2394673;246.2311811;-0.07271149;-0.9812281;-0.05021328;-0.05027471;-0.98124956;-0.0501385;-0.98127118;0.99608818;-0.07286287;-0.07255922;0.99607965;0.99609916;89.82581473;89.80877798;89.8188047;179.7169955;179.7205248;179.7125717;0.91537397;0.90701922;0.91124527;0.91537397;0.90701922;0.91124527;90.72338954;90.71879374;90.72675331;164.5717092;164.5676469;164.5756692;138.0596824;137.9358257;138.0027206;102.1610932;102.1375371;102.1219813;0.17608583;0.18779483;0.20178539;-426.5075748;-426.4991113;-426.4912145;-391.7495343;-391.7304127;-391.7675948;2.12419164;2.13622632;2.10670344;0.34001104;0.42851326;0.39155176;-20.3639956;-20.36701303;-20.36081122;-111.6756518;-111.6735463;-111.6783547;-102.0670642;-102.0630523;-102.0699372;-56.25816003;-56.25468544;-56.26017691;89.99701771;89.99936699;90.00321952;-110.36205;-110.3661481;-110.3641865;491.8180782;237.7013741;-256.275179;237.7275879;237.6771253;491.8415207;491.7968518;-256.3208481;-256.3697767;78.49483985;49.81098215;49.71612942;49.76533778;-407.8693175;-407.9128358;-407.88994;78.52122564;78.47047466;0.0140395;0.99656269;0.99654242;-0.08177453;0.01387129;0.99646614;0.99655196;-0.08189639;0.01419275;0.99647698;-0.08164162;0.99645532;-1214.78;-619.2072116;-1214.81;-233.9571359;-234.0039102;-1214.80;-233.9804794;-619.1815625;-619.2343162;499.8063122;240.8539144;-256.7657282;240.808492;240.8949314;-329.1117338;-329.0538287;499.7722012;499.7464094;-0.35541964;-0.35541964;-0.35541964;-1.9491148;-1.9491148;-1.9491148;-1.7813802;-1.7813802;-1.7813802;-0.98189402;-0.98189402;-0.98189402;1.5707959;1.5707959;1.5707959;-1.9262156;-1.9262156;-1.9262156;499.7801827;-329.0852199;240.8605854;240.8605854;240.8605854;-329.0852199;-329.0852199;499.7801827;499.7801827;30.5625;30.5625;30.5625;32.3125;32.3125;32.3125;32.5;32.5;32.5;37.8125;37.8125;37.8125;41.375;41.375;41.375;42.875;42.875;42.875;3773;1;2.11032035;0.44488002;-3.15254026
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;8;307.2613182;307.1828411;307.223671;246.2409827;85.62656053;85.6000348;85.61506834;246.2476189;246.2339073;-0.09236363;-0.96799747;-0.17000772;-0.17015107;-0.96806045;-0.16991067;-0.96811583;0.98110464;-0.09256445;-0.09221105;0.98106087;0.98113477;89.90851827;89.89406963;89.90191046;179.7387854;179.7480732;179.7312385;0.79797251;0.78948384;0.79399463;0.79797251;0.78948384;0.79399463;90.94228056;90.93973128;90.94500434;164.596653;164.5884071;164.6036909;136.9093835;136.8212374;136.8671727;102.5071293;102.4992675;102.4901834;0.35761624;0.38261262;0.41302758;-426.3793622;-426.3706565;-426.3605112;-391.836968;-391.8160474;-391.8499546;2.42167213;2.42878143;2.41473047;0.03006192;0.04750347;0.0401265;-26.64381056;-26.64682556;-26.63996805;-116.6762306;-116.6718787;-116.6779712;-94.43791412;-94.43547954;-94.43957765;-58.88663296;-58.88429461;-58.88842004;89.99841107;89.99997442;90.00182616;-116.6418625;-116.6487473;-116.6442212;490.551252;237.1793659;-328.7693437;237.2110487;237.1482309;490.600874;490.4907754;-328.8556486;-328.9447615;78.48526529;-22.69350219;-22.87033689;-22.7804037;-407.2922778;-407.400053;-407.3515035;78.51694219;78.45417766;0.01845468;0.9966227;0.99659701;-0.08017348;0.01832843;0.99661565;0.99661007;-0.08034081;0.01860456;0.99662724;-0.08004538;0.99660161;-1238.82;-670.3189717;-1238.86;-233.892668;-233.9370395;-1238.84;-233.9153848;-670.2788012;-670.3618925;499.5851426;240.887079;-329.082822;240.8551197;240.9425069;-401.4152775;-401.3508177;499.5591607;499.5387415;-0.46502733;-0.46502733;-0.46502733;-2.0363832;-2.0363832;-2.0363832;-1.6482387;-1.6482387;-1.6482387;-1.0277672;-1.0277672;-1.0277672;1.5707941;1.5707941;1.5707941;-2.0358233;-2.0358233;-2.0358233;499.5605468;-401.3875798;240.8929404;240.8929404;240.8929404;-401.3875798;-401.3875798;499.5605468;499.5605468;30.5625;30.5625;30.5625;32.3125;32.3125;32.3125;32.5;32.5;32.5;37.875;37.875;37.875;41.375;41.375;41.375;42.92638889;42.9375;42.875;3773;1;2.4033437;0.22717349;-3.70771305
kirkdefault;20210212F2001_kirkdefaultrpsv3d;-;20210212F2;Pose5e;9;306.6728186;306.624459;306.6511452;246.2079066;85.90711495;85.89071065;85.89758643;246.2106268;246.2052447;-0.10867373;-0.94390667;-0.27537391;-0.27545836;-0.94393774;-0.27527055;-0.94396382;0.95517497;-0.10877446;-0.10854387;0.95515086;0.95520611;89.95938671;89.9472911;89.95246804;179.6474124;179.6514171;179.6433864;0.97126409;0.96464227;0.96735265;0.97126409;0.96464227;0.96735265;90.87540855;90.87191978;90.87892454;164.6669735;164.6642028;164.6694408;137.6955971;137.6030985;137.6605502;102.5489069;102.5424735;102.5316898;0.62480762;0.64070375;0.65542587;-426.1050473;-426.0956806;-426.0879538;-391.9424594;-391.9278537;-391.9593652;2.38585122;2.39342841;2.37893843;0.10064481;0.12642558;0.11495912;-29.56351547;-29.56634894;-29.56017445;-110.863022;-110.8606172;-110.8647426;-103.2628892;-103.2598107;-103.264626;-55.87369764;-55.87086979;-55.87636126;89.99772805;89.99977711;90.00114315;-119.5614132;-119.5648283;-119.5633014;489.3000815;236.6823045;-401.3656992;236.7472445;236.6660015;489.3377927;489.2706281;-401.4213979;-401.4802693;78.50104047;-95.30090726;-95.41573523;-95.35675621;-406.7998977;-406.8657725;-406.8287396;78.56619172;78.48470534;0.02050573;0.99657938;0.99655369;-0.08020229;0.02028513;0.99660439;0.99656765;-0.08032003;0.02082563;0.99661616;-0.0800701;0.99659297;-1262.86;-721.4634838;-1262.89;-233.8086244;-233.8668568;-1262.89;-233.843625;-721.4361668;-721.4890059;434.6182794;240.8612782;-401.383319;240.8329723;240.8946895;-401.2621883;-401.2185949;434.5885629;434.569376;-0.51598024;-0.51598024;-0.51598024;-1.9349298;-1.9349298;-1.9349298;-1.8022857;-1.8022857;-1.8022857;-0.97517347;-0.97517347;-0.97517347;1.5707937;1.5707937;1.5707937;-2.0867763;-2.0867763;-2.0867763;434.5874138;-401.2378673;240.855501;240.855501;240.855501;-401.2378673;-401.2378673;434.5874138;434.5874138;30.5625;30.5625;30.5625;32.375;32.375;32.375;32.5;32.5;32.5;37.875;37.875;37.875;41.375;41.375;41.375;42.875;42.875;42.875;3773;1;2.36556609;-0.03807887;-4.17897376
